Reference,Title,Release,Shelf Date,Specs,Genre
ID6725TS,Sing,1989,,SRD,Musical
ML101463,Sleeper,1973,1989,P&S/ANA,Sci-Fi
ID7534VE,Smash Palace,1981,,,Drama
LVD9003,Smithsonian: Dinosaurs,1989,,CAV,Documentary
ML102127,Some Came Running,1958,1991-02-15,LBX,Drama
LV2324,Sounder,1972,,ANA,Family
SA01,Space Archive #1: Space Shuttle Mission Reports,1983,1983,ANA/CAV,Documentary
SA05,Space Archive #5: Greetings from Earth,1985,1985,ANA/CAV,Documentary
SA06,Space Archive #6: Encounters,1986,,ANA/CAV,Documentary
ID3155CC,SpaceCamp,1986,1995-08-23,LBX/SRD,Drama
10060 AS,The Spirit of Mickey,1998,1998-07-08,,Animation
ML101743,The Spy Who Loved Me,1977,1990,LBX/SRD/+CAV,Action
HBO22394,The Squeeze,1987,,P&S/SRD,Comedy
11805,Stand and Deliver,1988,1988,P&S,Drama
LV 1621,Star Trek III: The Search for Spock,1984,1985,P&S/SRD,Sci-Fi
LV 1797-2,Star Trek IV: The Voyage Home,1986,1986,P&S,Sci-Fi
LV 40270-747,Star Trek Next Generation #177/178: All Good Things #1 & 2,1994,1996-04-02,SRD,TV Series
LV 32044,Star Trek V: The Final Frontier,1989,1989,P&S/SRD,Sci-Fi
0693-84,Star Wars Trilogy: Definitive Collection,1977,1993-09-15,LBX/SRD/CAV/THX,Sci-Fi
ID6746KV,Steele Justice,1987,1989,P&S,Action
440 089 551-1,Sting: Unplugged,1992,1992-11-03,,Music
VLD 3380,Stir Crazy,1980,1981,ANA,Comedy
ML100202,The Story of O,1975,1983,P&S/ANA,Adult
ML104505,Student Prince in Old Heidelberg - The/The Student Prince,1955,1993-09-29,,Drama
42777,Sudden Death,1995,1996-06-18,LBX/SRD,Action
CC1190L,Summertime: Criterion #116,1955,1991-08-01,,Arthouse
2008 AS,Super Mario Bros.,1993,1993-12-08,LBX/SRD,Action
PILF-7270,Super Mario Bros.,1993,1993-12-21,LBX/SRD,Action
ML101434,Sweet Smell of Success,1957,1989,P&S/ANA,Drama
VL5180,Taipan,1986,1987,ANA,Drama
TAKE5II,Take Five II: AV Laser Sampler Disc,1992,1992,+CAV,Documentary
CC1300L,"Tales of Hoffmann, The: Criterion #157",1951,1992-07-29,+CAV/Uncut,Arthouse
CC1218L,Taxi Driver: Special Edition: Criterion #109,1976,1990,LBX/CAV,Drama
PILA-1321A,Tenchi Universe TV #1: Tenchi on Earth Ep.1-4,1995,1996-12-10,Bilingual/CAV,Anime
PSE82997-6WS,Terminator 2: Judgment Day: Special Edition: PSE,1991,1993-11-24,LBX/SRD/+CAV/Uncut/THX,Sci-Fi
ML101170,The Beatles: Yellow Submarine,1968,1987,P&S,Music
40946,The Thing,1982,1990-10-11,LBX/SRD,Horror
PA-92-493,This is Garth Brooks: Live Performances,1992,1992-11-25,CLV,Music
1033-80,Those Magnificent Men in Their Flying Machines,1965,1986,P&S/ANA,Family
4713 AS,The Tie That Binds,1995,1996-04-03,LBX/SRD,Crime
42242,Timecop,1994,1995-02-28,LBX/SRD/THX,Sci-Fi
PA 12528,Timerider: The Adventure of Lyle Swann,1982,1984,P&S/ANA,Sci-Fi
LV 6308,To Catch A Thief,1955,1982,P&S/ANA,Crime
19-001,Tom Sawyer,1973,1979,ANA/CAV,Family
SF078-5101,Tootsie,1982,1986,,Comedy
LV 1692,Top Gun,1986,1987-03-11,P&S/SRD,Action
LV68901-WS,Total Recall,1990,1994-11-23,LBX/SRD/THX,Sci-Fi
21010,Touch of Evil: Encore Edition,1958,1991,ANA/Uncut,Crime
CC1477L,Trainspotting: Special Edition: Criterion #325,1996,1997-03-26,LBX/AC3/Uncut,Drama
13415,The Trip To Bountiful,1985,1986,P&S/ANA,Drama
SF050-1425,The Trouble with Dick,1987,1988-04-25,P&S/ANA,Arthouse
LV32127,True Colors,1991,1991-08-15,P&S/SRD,Drama
LD 91387,Turbulence,1997,1997-06-24,P&S/AC3,Action
32526,U Turn,1997,1998-03-31,LBX/AC3/+CAV,Crime
LV 32228-A,U2: Rattle & Hum,1988,1995-10-10,P&S/AC3,Music
ID3859PG,U2: ZOO TV Tour - Live From Sydney,1994,,,Music
12420,Under Siege,1992,1993-04-21,LBX/SRD,Action
VL5059,Utilities,1981,1985,P&S/ANA,Comedy
11-018,Videodrome,1982,1983,P&S/ANA/Uncut,Horror
SD1,Voyager Gallery #1,1988,,CAV,Documentary
VLD 6040,The Way We Were,1973,1983,P&S/ANA,Romance
LD 68904-WS,Weekend at Bernie's,1989,1995-11-14,LBX/SRD,Comedy
13562 AS,Welcome to Sarajevo,1997,1998-07-08,LBX/SRD,Drama
ID3316HL,When Night Is Falling,1995,1997-06-04,P&S/SRD/Uncut,Romance
997 AS,Where The Heart Is,1990,1990-08,P&S/SRD,Comedy
LV 6104-2,White Christmas,1954,1991-12-31,P&S/ANA,Holiday
11916,White Hunter - Black Heart,1990,1991-04-10,P&S/SRD,Drama
77246,White Mischief,1987,1988,P&S/SRD,Drama
LV 1736-WS,Witness,1985,1995-01-18,LBX/SRD,Mystery
PSE95-64,Wuthering Heights,1939,1995-10-03,,Drama
ML101049,Yolanda and the Thief,1945,1992-07-01,,Musical
VLD 6100,Z,1969,1983,P&S/ANA,Crime
